CoastPN,Item,Level,Name,Class,PerUnit,Unit,PartDwg,Rev,ManFSCM
1200-901,15,4,6061-T651 ALUM ALLOY,060A,1,EA,3/8 STK," 10.0 x 7.75   0.10""",-
1215,10,3,"CHUCK KEY 1/4"","",1.0000,EA""",3641 1-CHUCK KEY,,J0007,,,
1215,13,3,CHUCK KEY 3/8," 1/2""""",,1,EA,30052  BA-CHUCK KEY,NC
1230AC,27,3,COUPLING,,1,EA,"DIAMOND U"" STYLE 1/4"" MILTON INTERCHACH""",,C0014
1460,34,3,COUPLING,,1,EA,"DIAMOND U"" STYLE 1/4"" MILTON INTERCHACH""",,C0014
2305-7,28,3,FRICTION COATED MYLAR,,1,A/R,"FCM-2, 2 MIL., 1/4"," TYPE EL""",-
2305-7,29,3,MYLAR TAPE,,1,A/R,"P256, 1/8 WIDE"," MFT2.5 PER MIL-I-15126""",-
2305-7,30,3,MYLAR TAPE,,1,EA,"P256, 1/4 WIDE"," MFT2.5 PER MIL-I-15126""",
2305-7,31,3,GLASS TAPE,,1,A/R,TYPE GFT 1/4 WIDE," PER MIL-I-15126""",-
2305-8,28,3,FRICTION COATED MYLAR,,1,A/R,"FCM-2, 2 MIL., 1/4"," TYPE EL""",-
2305-8,29,3,MYLAR TAPE,,1,A/R,"P256, 1/8 WIDE"," MFT2.5 PER MIL-I-15126""",-
2305-8,30,3,MYLAR TAPE,,1,EA,"P256, 1/4 WIDE"," MFT2.5 PER MIL-I-15126""",
2305-8,31,3,GLASS TAPE,,1,A/R,TYPE GFT 1/4 WIDE," PER MIL-I-15126""",-
2305-9,28,3,FRICTION COATED MYLAR,,1,A/R,"FCM-2, 2 MIL., 1/4"," TYPE EL""",-
2305-9,29,3,MYLAR TAPE,,1,A/R,"P256, 1/8 WIDE"," MFT2.5 PER MIL-I-15126""",-
2305-9,30,3,MYLAR TAPE,,1,EA,"P256, 1/4 WIDE"," MFT2.5 PER MIL-I-15126""",
2305-9,31,3,GLASS TAPE,,1,A/R,TYPE GFT 1/4 WIDE," PER MIL-I-15126""",-
2703-001,20,4,"PINS, TERMINAL",,11,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
2712-002,20,4,"PINS, TERMINAL",,11,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
2715-445,20,4,"PINS, TERMINAL",,11,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
2718-113,20,4,"PINS, TERMINAL",,11,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
2719-016,20,4,"PINS, TERMINAL",,11,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
2730-001,20,4,"PINS, TERMINAL",,11,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
2731-553,20,4,"PINS, TERMINAL",,11,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
30049,13,4,"WIRE, INSULATE",003Q,12,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
30106,7,2,LEAD WIRE,004E,8,EA,"LW0.020N-32, PER MIL-STD-1276D, LEN=2.0"",-""",,
30316,12,2,"TAPE FILM, NOMEX",,1,A/R,"TYPE 410 DUPONT, 0.005THICK"," 1 1/4""""",-
30350,12,4,"WIRE, INSULATED LEAD",003Q,9,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
30350,16,2,TERMINAL/PIN (TC#20AWG),,9,EA,"LW-0.032C-32-N PER MIL-STD-1276, CUT 4"",-""",,
30366,6,4,"WIRE, INSULATED LEAD",003Q,9,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
30484,13,4,"WIRE, INSULATED LEAD",003Q,12,EA,"M22759/33-30-9 PER MIL-W-22759, CUT 4"",-""",,
30501-1,18,4,"PINS, TERMINAL, CUT 4"",004F""",2,,BERYLLIUM COPPER PER (98230) ON379162-1,CUR,R0003,
30687,7,4,"WIRE, INSULATED LEAD",003Q,2,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
30687,8,4,"PINS, TERMINAL",,2,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 4"",-""",,
30816,4,3,"LEAD WIRE, TEFLON",003E,1,EA,"#24 AWG,TYPE E,RED,BRN,YEL,ORG,CUT TO 8"",-""",,
30818,4,3,"LEAD WIRE, TEFLON",003E,1,EA,"#24 AWG,TYPE E,RED,BRN,YEL,ORG,CUT TO 8"",-""",,
30832,9,2,TERMINAL/PINS (TC#22AWG),,10,EA,"LW-0.025C-32-N PER MIL-STD-1276, CUT 1"",-""",,
30833,13,4,"WIRE, INSULATED LEAD",003Q,1,EA,"M22759/33-26-9 PER MIL-W-22759, CUT 6"",-""",,
30833,14,4,"WIRE, INSULATED LEAD",003Q,2,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 6"",-""",,
30875,7,2,LEAD WIRE,003E,1,EA,"#28 AWG, TYPE E PER MIL-W-16878, CUT 6"",-""",,
30905,9,4,"PINS, TERMINAL",004E,12,EA,"#22 AWG, NICKEL PER MIL-STD-1276, CUT 4"",-""",,
30906,8,4,"PINS, TERMINAL",004E,8,EA,"#24 AWG, NICKEL PER MIL-STD-1276, CUT 4"",-""",,
30922,8,2,"WIRE, INSULATED LEAD",,4,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
30922,9,2,PIN/TERMINAL (TC#20AWG),,4,EA,"LW-0.032C-32-N PER MIL-STD-1276, CUT 4"",-""",,
30932,9,2,PINS/TERMINAL (TC#20AWG),,11,EA,"LW-0.032C-32-N PER MIL-STD-1276, CUT 4"",-""",,
30939,6,3,LEAD WIRE,003Q,2,EA,"M22759/33-24-9 PER MIL-W-22759 CUT 12"",-""",,
30940,6,3,LEAD WIRE,003Q,4,EA,"M22759/33-24-9 PER MIL-W-22759 CUT 12"",-""",,
30943,6,3,LEAD WIRE,003Q,2,EA,"M22759/33-24-9 PER MIL-W-22759 CUT 12"",-""",,
30944,6,3,LEAD WIRE,003Q,2,EA,"M22759/33-24-9 PER MIL-W-22759 CUT 12"",-""",,
30945,6,3,LEAD WIRE,003Q,2,EA,"M22759/33-24-9 PER MIL-W-22759 CUT 12"",-""",,
30947,9,3,LEAD WIRE,003Q,14,EA,"M22759/33-24-9 PER MIL-W-22759 CUT 12"",-""",,
30948,6,3,LEAD WIRE,003Q,2,EA,"M22759/33-24-9 PER MIL-W-22759 CUT 12"",-""",,
30949,6,3,LEAD WIRE,003Q,2,EA,"M22759/33-24-9 PER MIL-W-22759 CUT 12"",-""",,
30950,6,3,LEAD WIRE,003Q,2,EA,"M22759/33-24-9 PER MIL-W-22759 CUT 12"",-""",,
30951,6,3,LEAD WIRE,003Q,2,EA,"M22759/33-24-9 PER MIL-W-22759 CUT 12"",-""",,
30952,6,3,LEAD WIRE,003Q,2,EA,"M22759/33-24-9 PER MIL-W-22759 CUT 12"",-""",,
30953,6,3,LEAD WIRE,003Q,6,EA,"M22759/33-24-9 PER MIL-W-22759 CUT 12"",-""",,
30954,6,3,LEAD WIRE,003Q,4,EA,"M22759/33-24-9 PER MIL-W-22759 CUT 12"",-""",,
30955,8,2,PIN/TERMINAL (TC#20AWG),,12,EA,"LW-0.032C-32-N PER MIL-STD-1276, CUT 4"",-""",,
30956,20,4,"PINS, TERMINAL",,10,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
30958,6,3,LEAD WIRE,003Q,2,EA,"M22759/33-24-9 PER MIL-W-22759 CUT 12"",-""",,
30959,6,3,LEAD WIRE,003Q,6,EA,"M22759/33-24-9 PER MIL-W-22759 CUT 12"",-""",,
30960,9,3,LEAD WIRE,003Q,14,EA,"M22759/33-24-9 PER MIL-W-22759 CUT 12"",-""",,
3098,4,3,COIL FORM,006A,1,EA,".203 x .281"" x 1.18"" LG"," .020"" EG.""",-
30984,13,4,"WIRE, INSULATED LEAD",003Q,1,EA,"M22759/33-26-9 PER MIL-W-22759, CUT 6"",-""",,
30984,14,4,"WIRE, INSULATED LEAD",003Q,2,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 6"",-""",,
30986,20,4,"PINS, TERMINAL",,10,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
30992,13,4,"WIRE, INSULATED LEAD",003Q,9,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
30994,13,4,"WIRE, INSULATED LEAD",003Q,10,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
30995,7,2,PINS/TERMINAL (TC#22AWG),,6,EA,"LW0.025C-32-N PER MIL-STD-1276, CUT 3"",-""",,
30996,7,2,PINS/TERMINAL (TC#22AWG),,2,EA,"LW0.025C-32-N PER MIL-STD-1276, CUT 3"",-""",,
30996,19,2,HOOKUP WIRE (TC#34AWG),,2,EA,"LW0.006C-32-N PER MIL-STD-1276, CUT 3"",-""",,
30997,7,2,PINS/TERMINAL (TC#22AWG),,2,EA,"LW0.025C-32-N PER MIL-STD-1276D, CUT 3"",-""",,
30997,19,2,HOOKUP WIRE (TC#34AWG),,2,EA,"LW0.006C-32-N PER MIL-STD-1276, CUT 3"",-""",,
31001,8,1,"PINS, TERMINAL (#24TC)",,28,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 4"",-""",,
31010,14,4,"WIRE, INSULATED LEAD",003Q,2,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 6"",-""",,
31011,14,4,"WIRE, INSULATED LEAD",003Q,4,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 6"",-""",,
31013,16,4,LEAD,,6,EA,"LW0.020N270-35-C1  PER MIL-STD-1276, 4"",-""",,
31014,16,4,LEAD,,6,EA,"LW0.020N270-35-C1  PER MIL-STD-1276, 4"",-""",,
31016,16,4,LEAD,,2,EA,"LW0.020N270-35-C1 PER MIL-STD-1276D, 4"",-""",,
31017,16,4,LEAD,,3,EA,"LW0.020N270-35-C1 PER MIL-STD-1276D, 4"",-""",,
31018,16,4,LEAD,,4,EA,"LW0.020N270-35-C1  PER MIL-STD-1276, 4"",-""",,
31019,16,4,LEAD,,14,EA,"LW0.020N270-35-C1  PER MIL-STD-1276, 4"",-""",,
31020,16,4,LEAD,,4,EA,"LW0.020N270-35-C1  PER MIL-STD-1276, 4"",-""",,
31021,16,4,LEAD,,3,EA,"LW0.020N270-35-C1 PER MIL-STD-1276D, 4"",-""",,
31022,16,4,LEAD,,2,EA,"LW0.020N270-35-C1 PER MIL-STD-1276D, 4"",-""",,
31023,16,4,LEAD,,6,EA,"LW0.020N270-35-C1  PER MIL-STD-1276, 4"",-""",,
31024,16,4,LEAD,,6,EA,"LW0.020N270-35-C1 PER MIL-STD-1276D, 4"",-""",,
31025,16,4,LEAD,,11,EA,"LW0.020N270-35-C1  PER MIL-STD-1276, 4"",-""",,
31026,16,4,LEAD,,2,EA,"LW0.020N270-35-C1 PER MIL-STD-1276D, 4"",-""",,
31027,16,4,LEAD,,10,EA,"LW0.020N270-35-C1  PER MIL-STD-1276, 4"",-""",,
31028,16,4,LEAD,,4,EA,"LW0.020N270-35-C1  PER MIL-STD-1276, 4"",-""",,
31029,16,4,LEAD,,4,EA,"LW0.020N270-35-C1  PER MIL-STD-1276, 4"",-""",,
31035,17,4,"WIRE, LEAD",,1,A/R,"LW0.025N270-35-C1 PER MIL-STD-1276, 4"",-""",,
31037,16,4,LEAD,,2,EA,"LW0.020N270-35-C1  PER MIL-STD-1276, 4"",-""",,
31038,17,4,"WIRE, LEAD",,1,A/R,"LW0.020N270-35-C1 PER MIL-STD-1276, 4"",-""",,
31039,16,4,LEAD,,4,EA,"LW0.020N270-35-C1  PER MIL-STD-1276, 4"",-""",,
31041,16,4,LEAD,,4,EA,"LW0.020N270-35-C1 PER MIL-STD-1276D, 4"",-""",,
31042,16,4,LEAD,,2,EA,"LW0.020N270-35-C1 PER MIL-STD-1276D, 4"",-""",,
31044,16,4,LEAD,,8,EA,"LW0.020N270-35-C1 PER MIL-STD-1276D, 4"",-""",,
31045,16,4,LEAD,,18,EA,"LW0.020N270-35-C1  PER MIL-STD-1276, 4"",-""",,
31046,16,4,LEAD,,2,EA,"LW0.020N270-35-C1 PER MIL-STD-1276D, 4"",-""",,
31051,16,4,LEAD,,8,EA,"LW0.020N270-35-C1  PER MIL-STD-1276, 4"",-""",,
31056,10,4,"WIRE, INSULATED LEAD",003Q,19,EA,"M22759/33-24-9 PER MIL-W-22759, CUT 10"",-""",,
31057,10,4,"WIRE, INSULATED LEAD",003Q,19,EA,"M22759/33-24-9 PER MIL-W-22759, CUT 10"",-""",,
31059,11,4,"WIRE, INSULATED LEAD",003Q,4,EA,"M22759/33-26-9 PER MIL-W-22759, CUT 10"",-""",,
31062,16,4,LEAD,,1,A/R,"LW0.013N270-35-C1 PER MIL-STD-1276, 4"",-""",,
31063,16,4,LEAD,,2,EA,"LW0.020N270-35-C1 PER MIL-STD-1276D, 4"",-""",,
31064,16,4,LEAD,,5,EA,"LW0.020N270-35-C1  PER MIL-STD-1276, 4"",-""",,
31065,16,4,LEAD,,10,EA,"LW0.020N270-35-C1  PER MIL-STD-1276, 4"",-""",,
31066,16,4,LEAD,,2,EA,"LW0.020N270-35-C1 PER MIL-STD-1276D, 4"",-""",,
31067,16,4,LEAD,,4,EA,"LW0.020N270-35-C1 PER MIL-STD-1276D, 4"",-""",,
31071,14,4,"WIRE, INSULATED LEAD",003Q,12,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
31104,16,4,LEAD,,2,EA,"LW0.020N270-35-C1  PER MIL-STD-1276, 4"",-""",,
31116,16,4,LEAD,,2,EA,"LW0.020N270-35-C1  PER MIL-STD-1276, 4"",-""",,
31118,17,4,"WIRE, EXTERNAL, SOLID",,1,A/R,"LW0.013N270-35-C1 PER MIL-STD-1276, 4"",-""",,
31119,17,4,"WIRE, EXTERNAL, SOLID",,1,A/R,"LW0.032N270-35-C1 PER MIL-STD-1276, 4"",-""",,
31130,14,4,"WIRE, INSULATED LEAD",003Q,12,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
31149,14,4,"WIRE, INSULATED LEAD",003Q,10,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
31152,8,3,"WIRE, TC (#24AWG)",,4,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",,
31155,20,4,"PINS, TERMINAL",,15,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31156,7,3,YELLOW MYLAR,,1,A/R,16-Mar," P256""",-
31156,8,3,BLACK MYLAR,,1,A/R,16-Mar," No. 1169""",-
31186,20,4,"PINS, TERMINAL",,12,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31186-2,11,4,"PINS, TERMINAL",,12,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31187,20,4,"PINS, TERMINAL",,12,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31187-2,12,4,"PINS, TERMINAL",,12,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31188,9,4,"PINS, TERMINAL",,8,EA,"#20AWG PER MIL-STD-1276, CUT 3"",-""",W0002,
31189-2,24,2,"CASE, POTTING",,1,EA,1-0259 (Mod: HT=.250," 8 Holes)""",-
31190,20,4,"PINS, TERMINAL",,2,EA,"LW0.040C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31220,13,4,"WIRE, INSULATED LEAD",003Q,12,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
31228,20,4,"PINS, TERMINAL",,2,EA,"LW0.050C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31229,7,4,"WIRE, INSULATED LEAD",003Q,1,A/R,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
31229,10,4,"PINS, TERMINAL",,8,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31233,4,3,"LEADS, 8"," WHITE""",,2,EA,3A018-070V-001,CUR
31234,24,4,"PINS, TERMINAL",,19,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31238,10,2,"PINS, TERMINAL",,4,EA,"LW0.050C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31239,10,2,"PINS, TERMINAL",,4,EA,"LW0.040C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31240,10,2,"PINS, TERMINAL",,4,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31242,7,3,"PIN, TERMINAL",,10,EA,"#20AWG. PER MIL-STD-1276, CUT 3"","",W0002""",,
31354,24,4,"PINS, TERMINAL",,14,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31355,18,3,INSERT,,1,EA,"CBL632-6, 3/16OD"," D=0.030""""",-
31355-1,18,3,INSERT,,1,EA,"CBL632-6, 3/16OD"," D=0.030""""",-
31356,20,4,"PINS, TERMINAL",,10,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31357,18,3,INSERT,,1,EA,"CBL632-6, 3/16OD"," D=0.030""""",-
31357-1,12,2,INSERT,,1,EA,"CB632-6, 3/16OD"," D=0.030""""",-
31359,8,3,BLK LEAD WIRE,,2,EA,14," AWG #26 PER M22759/33-26-0""",CUR
31359,9,3,BRN LEAD WIRE,,1,EA,14," AWG #26 PER M22759/33-26-1""",CUR
31359,10,3,ORG LEAD WIRE,,1,EA,14," AWG #26 PER M22759/33-26-3""",CUR
31359,11,3,YEL LEAD WIRE,,1,EA,6," AWG #26 PER M22759/33-26-4""",CUR
31359,12,3,YEL LEAD WIRE,,1,EA,14," AWG #26 PER M22759/33-26-4""",CUR
31359,14,3,GRN LEAD WIRE,,1,EA,14," AWG #26 PER M22759/33-26-5""",CUR
31359,15,3,BLU LEAD WIRE,,1,EA,14," AWG #26 PER M22759/33-26-6""",CUR
31359,16,3,BLU LEAD WIRE,,1,EA,6," AWG #26 PER M22759/33-26-6""",CUR
31359,17,3,GRY LEAD WIRE,,1,EA,14," AWG #26 PER M22759/33-26-8""",CUR
31359,18,3,VIO LEAD WIRE,,1,EA,6," AWG #26 PER M22759/33-26-7""",CUR
31360,5,3,LEAD WIRE,,1,A/R,"ORG, 16"," AWG #26 PER M22759/33""",CUR
31360,6,3,LEAD WIRE,,1,EA,"BLK, 16"," AWG #26 PER M22759/33""",CUR
31360,7,3,LEAD WIRE,,1,EA,"WHT, 16"," AWG #26 PER M22759/33""",CUR
31360,8,3,LEAD WIRE,,1,EA,"GRY, 16"," AWG #26 PER M22759/33""",CUR
31360,9,3,LEAD WIRE,,1,EA,"VIO, 16"," AWG #26 PER M22759/33""",CUR
31360,10,3,LEAD WIRE,,1,EA,"YEL, 16"," AWG #26 PER M22759/33""",CUR
31361,5,3,RED LEAD WIRE,,1,EA,14," AWG #26 PER M22759/33-26-2""",CUR
31361,6,3,GRN LEAD WIRE,,1,EA,14," AWG #26 PER M22759/33-26-5""",CUR
31363,5,3,RED LEAD WIRE,,1,EA,6," AWG #26 PER M22759/33-26-2""",CUR
31363,6,3,GREY LEAD WIRE,,1,EA,14," AWG #26 PER M22759/33-26-8""",CUR
31365,5,3,BLK LEAD WIRE,,1,EA,14," AWG #26 PER M22759/33-26-0""",CUR
31365,6,3,WHT LEAD WIRE,,1,EA,14," AWG #26 PER M22759/33-26-9""",CUR
31366,5,3,BRN LEAD WIRE,,1,EA,3," AWG #26 PER M22759/33-26-1""",CUR
31366,6,3,WHT LEAD WIRE,,1,EA,16," AWG #26 PER M22759/33-26-9""",CUR
31366,7,3,VIO LEAD WIRE,,1,EA,16," AWG #26 PER M22759/33-26-7""",CUR
31366,8,3,BLU LEAD WIRE,,1,EA,16," AWG #26 PER M22759/33-26-6""",CUR
31366,9,3,YEL LEAD WIRE,,1,EA,3," AWG #26 PER M22759/33-26-4""",CUR
31377,14,4,"WIRE, INSULATED LEAD",003Q,10,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
31388,8,4,"PINS, TERMINAL",,2,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31418,20,4,"PINS, TERMINAL",,12,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31418-2,12,4,"PINS, TERMINAL",,12,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31418-2A,12,4,"PINS, TERMINAL",,12,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31421,18,4,"PINS, TERMINAL",,10,EA,"LWO.032C-32-N PER MIL-STD-1276D, CUT 4"",-""",,
31421,26,4,"PINS, TERMINAL",,10,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31423,9,4,"PINS, TERMINAL",,8,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31425,11,4,"PINS, TERMINAL",,15,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31426,7,4,"PINS, TERMINAL",,2,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31427,11,4,"PINS, TERMINAL",,6,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31428,10,4,"PINS, TERMINAL",,6,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31429,9,4,"PINS, TERMINAL",,4,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31430,8,4,"PINS, TERMINAL",,4,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31431,9,4,"PINS, TERMINAL",,10,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31435,8,4,"PINS, TERMINAL",,6,EA,"LWO.040C-32-N PER MIL-STD-1276D,CUT 3"",-""",W0002,
31446,3,3,CORE,,1,EA,"CRL-1097A, Gap = .008"," COATED""",-
31475,24,4,"PINS, TERMINAL",,14,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31476,16,3,LEAD WIRE,,4,EA,"M22759/11-26-9 #26 AWG, TEFLON WIRE 9"","",""",,
31477,6,4,LEAD WIRE,006A,2,EA,"M22759/11-26-9,#26 AWG TEFLON WIRE,CUT8"",-""",,
3150,5,3,BRACKET,,1,EA,"3/16 x 3/16, Horiz., STYLE A"""," CAD PLD""",-
