CoastPN,Item,Level,Name,Class,PerUnit,Unit,PartDwg,Rev,ManFSCM
31504,20,4,"PINS, TERMINAL",,2,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31506,20,4,"PINS, TERMINAL",,4,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31506-1,7,3,"WIRE, TC (#20 AWG)",,4,EA,"LW-0.032C-32-N PER MIL-STD-1276, CUT 3"",-""",,
31506-2,11,4,"PINS, TERMINAL",,4,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31528,24,3,"CASE, POTTING",,1,EA,1-0259 (Mod: HT=.250," 8 Holes)""",-
31529,10,4,"PINS, TERMINAL",,15,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31534,11,4,"PINS, TERMINAL",,6,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31535,7,4,"PINS, TERMINAL",,2,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31536,8,4,"PINS, TERMINAL",,7,EA,"LW0.025C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31537,10,4,"PINS, TERMINAL",,7,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31538,9,4,"PINS, TERMINAL",,4,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31540,19,4,"PINS, TERMINAL",,2,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31541,18,4,"PINS, TERMINAL",,2,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31542,18,4,"PINS, TERMINAL",,2,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31543,19,4,"PINS, TERMINAL",,2,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31544,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," BROWN & GREEN""",-
31546,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," BLACK & ORANGE""",-
31547,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," GREEN & YELLOW""",-
31548,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," BLACK & BLUE""",-
31549,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," BROWN & GREEN""",-
31550,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," BLACK & ORANGE""",-
31551,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," GREEN & YELLOW""",-
31552,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," VIOLET & GREEN""",-
31553,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," BROWN & GREEN""",-
31554,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," BROWN & WHITE""",-
31555,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," RED & GREEN""",-
31556,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," BLACK & ORANGE""",-
31557,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," GREEN & YELLOW""",-
31562,14,4,"PINS, TERMINAL",,14,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31565,4,4,"3 PHASE, 6 Mil SILICON",,1,SET,D=1," E=1/4"" (2E=1/2"")"," F=5/8"""
31566,4,4,"CUT CORE, 2 Mil SILICON",,2,SET,D=5/8," E=3/8"""," F=3/4"""
31567,6,1,"PINS, TERMINAL",,8,EA,"LWO.040C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31711,9,2,"WIRE, TC (#20AWG)",,12,EA,"LW-0.032C-32-N PER MIL-STD-1276, CUT 1"",-""",,
31711-2,10,2,"WIRE, TC (#20AWG)",,12,EA,"LW-0.032C-32-N PER MIL-STD-1276, CUT 1"",-""",,
31712-2,9,2,"WIRE, TC (#20AWG)",,12,EA,"LW-0.032C-32-N PER MIL-STD-1276, CUT 1"",-""",,
31713-2,8,2,"WIRE, TC (#20AWG)",,12,EA,"LW-0.032C-32-N PER MIL-STD-1276, CUT 1"",-""",,
31715,8,1,"PINS, TERMINAL",,3,EA,"LWO.051-C-32-N PER MIL-STD-1276D, CUT 3"","",""",,
31715,11,1,"PINS, TERMINAL",,8,EA,"LWO.040-C-32-N PER MIL-STD-1276D, CUT 3"","",""",,
31718,20,4,"PINS, TERMINAL",,2,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31787,7,4,"PIN, TERMINAL",,10,EA,"LWO.032C-32-N PER MIL-STD-981, CUT 3"","",W0002""",,
31814,10,4,"PINS, TERMINAL",,4,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31815,10,4,"PINS, TERMINAL",,8,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31816,11,4,"PINS, TERMINAL",,5,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31817,11,4,"PINS, TERMINAL",,9,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31818,14,4,"PINS, TERMINAL",,6,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31819,10,4,"PINS, TERMINAL",,6,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31820,10,4,"PINS, TERMINAL",,6,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31821,12,4,"PINS, TERMINAL",,8,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31822,11,4,"PINS, TERMINAL",,20,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31823,11,4,"PINS, TERMINAL",,20,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31824,12,4,"PINS, TERMINAL",,20,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31851-2,8,2,"WIRE, TC (18AWG)",,6,EA,"LW-0.040C-32-N PER MIL-STD-1276, CUT 2"",-""",,
31856,8,2,"WIRE, TC (#20AWG)",,6,EA,"LW-0.032C-32-N PER MIL-STD-1276, CUT 2"",-""",,
31857,8,2,"WIRE, TC (#20AWG)",,4,EA,"LW-0.032C-32-N PER MIL-STD-1276, CUT 2"",-""",,
31942,6,2,"WIRE, TC (#20AWG)",,8,EA,"LW-0.032C-32-N PER MIL-STD-1276, CUT 2"",-""",,
31977,9,2,"WIRE, TC (#22AWG)",,7,EA,"LW-0.025C-32-N PER MIL-STD-1276, CUT 1"",-""",,
31986,19,1,"PINS, TERMINAL",,4,EA,"18awgTC,C10200,PerMIL-STD-1276TY C.Cut4"",-""",W0002,
31986,20,1,"PINS, TERMINAL",,14,EA,"20awgTC,C10200,perMIL-STD-1276TY C.Cut4"",-""",W0002,
32072,8,1,"PINS, TERMINAL",,3,EA,"LWO.051C-32-N PER MIL-STD-1276D, CUT 3"","",""",,
32072,9,1,"PINS, TERMINAL",,8,EA,"LWO.040C-32-N PER MIL-STD-1276D, CUT 3"","",""",,
32077,18,4,"PINS, TERMINAL",,6,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
32206,8,4,"FOIL, COPPER",,1,A/R,"T-26 X 1/4"",-""",F0003,
32218,9,3,TEFLON LEAD,,1,EA,"#14 AWG, 8 LG."," RED W/WHT STRIPE""",
32218,11,3,NOMEX TAPE,,1,A/R,TYPE 410 (DUPONT) 1-1/4," 0.005 MIL""",
32218,12,3,KAPTON TAPE (NO ADHESIVE),,1,A/R,1/1/2016," 0.005""THICK""",-
32242,7,4,"PIN, TERMINAL",,10,EA,"LWO.032C-32-N PER MIL-STD-981, CUT 3"","",W0002""",,
3238,7,3,SHIELD,,41,IN,"T-26 x 1/2"",-""",F0003,
32459,8,1,"PIN, TERMINAL (#20AWG)",,4,EA,"LW0.032-32-N PER MIL-STD-1276D, CUT 3"",-""",,
32486,9,4,TUBE,,1,EA,"ID=.173,THK=.020,LG=1.75"," MATERIAL:G10""",
32613,8,3,"PINS, TERMINAL",,6,EA,"LW0.025C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
32646,7,3,"WIRE, TINNED NICKLE",,1,A/R,"#22awg(LWO.025N-32N,MIL-STD-1276) cut 4"","",""",,
32647,9,3,"WIRE, TINNED NICKLE",,1,A/R,"#22awg(LWO.025N-32N,MIL-STD-1276) cut 2"","",""",,
32649,7,4,"WIRE, INSULATED LEAD",003Q,2,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
32649,8,4,"PINS, TERMINAL",,2,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 4"",-""",,
32679,8,4,"WIRE, INSULATED LEAD",003Q,2,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
32679,9,4,"PINS, TERMINAL",,2,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 4"",-""",,
32749,7,3,"PINS, TERMINAL",,12,EA,"LWO.032-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
32750,7,3,"PINS, TERMINAL",,12,EA,"LWO.032-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
32751,8,3,"PINS, TERMINAL",,12,EA,"LWO.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
32752,8,3,"PINS, TERMINAL",,12,EA,"LWO.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
32753,6,3,"PINS, TERMINAL",,10,EA,"LWO.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
32754,8,3,"PINS, TERMINAL",,12,EA,"LWO.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
32755,8,3,"PINS, TERMINAL",,8,EA,"LWO.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
32756,6,3,"PINS, TERMINAL",,6,EA,"LWO.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
32757,8,3,"PINS, TERMINAL",,8,EA,"LWO.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
32787,6,1,"PINS, TERMINAL",,4,EA,"LWO.057C-32-N PER MIL-STD-1276D, CUT 3"","",W0002""",,
32865,8,1,"PINS, TERMINAL",,3,EA,"LWO.040C-32-N PER MIL-STD-1276D, CUT 3"",-""",,
32895,15,3,CABLE TIES,,12,EA,Size: 8.5," Bundle Dia: 1/16"" - 2""""",-
32910,4,2,CORE,,1,EA,"STX-1139C4-A, EPOXY COATED & GAP 0.010"",-""",M0099,
3369,19,3,LEAD WIRE,006E,1,EA,"#18 AWG, TEF, TYPE E"""," CUT 8"" EA.""",
3379,18,3,LEAD WIRE,003E,1,EA,"#18 TEFLON, TYPE E, CUT 1.6"," COLOR: BLK""",-
34049,6,2,CLEAR MYLAR TAPE,,1,A/R,"3M #5, 1/4"",-""",75037,
34067,5,3,"WIRE, TC",,8,EA,"#22AWG PER MIL-STD-1276, CUT 3"",CUR""",W0002,
34077,8,2,"PINS, TERMINAL",,12,EA,"LWO.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
34077-2,8,3,"WIRE, TC",000F,12,EA,"#20AWG, PER MIL-STD-1276, CUT 3"",-""",W0002,
34078,8,3,"WIRE, TC",,8,EA,"#20AWG, PER MIL-STD-1276, CUT 1.5"",-""",W0002,
34078-2,8,3,"PINS, TERMINAL",,8,EA,"LWO.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
34086,9,3,"PINS, TERMINAL",,9,EA,"LWO.025C-32-N PER MIL-STD-1276D,CUT 3"",-""",W0002,
34091,20,3,"PINS, TERMINAL, AWG #18",,16,EA,"LW0.040C-32-N PER MIL-STD-1276, CUT 3"",F""",W0002,
34106,6,3,LEAD,,14,EA,"LWO.032C-32-N Per Mil-Std-1276D, cut 3"",-""",,
34106-3,9,3,INSERT,,4,EA,"CBL440-8, D=0.031"",-""",21698,
34128,16,1,"PINS, TERMINAL",,15,EA,"LWO.025-C-32-N PER MIL-STD-1276D, CUT 3"",NC""",,
34378,9,4,"WIRE, INSULATED LEAD",003Q,2,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
34378,10,4,"PINS, TERMINAL",,2,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 4"",-""",,
34566-3,12,2,BANDING,,1,A/R,"3/8 x 0.006""THICK"," TIN-COATED STRAP""",-
34677,11,4,"PINS, TERMINAL",,12,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
34677-2,11,4,"PINS, TERMINAL",,12,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
34678-2,12,4,"PINS, TERMINAL",,12,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
34689-2,10,4,"PINS, TERMINAL",,12,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
34738-1,11,3,SCREW,,4,EA,#4-40 x 5/16," FLAT.HD 100? S.S""",-
34738-3,11,3,SCREW,,4,EA,#4-40 x 5/16," FLAT.HD 100? S.S""",-
34747-3,8,3,"WIRE, TC (#22AWG)",,10,EA,"LW-0.025C-32-N PER MIL-STD-1276, CUT 1"",-""",,
34747-4,7,3,"WIRE, TC (#22AWG)",,10,EA,"LW-0.025C-32-N PER MIL-STD-1276, CUT 1"",-""",,
34759,5,3,COPPER LEAD WIRE,,2,EA,"#24 AWG PER MIL-STD-1276, TYPE C. CUT 2"",-""",,
34811,4,3,CORE,,1,EA,"CRH-STYLE (4 MIL SILICON), GAP=0.050"",CUR""",M0099,
34815-3,10,2,BANDING,,1,A/R,"0.006 x 3/8"""," TIN-COATED STRAP""",
34975-1,11,3,BAND,,1,A/R,"0.006 x 3/8"""," COLD ROLLED STEEL.""",-
34981-1,11,3,BAND,,1,A/R,"0.006 x 3/8"""," COLD ROLLED STEEL.""",-
35001,8,4,"WIRE, INSULATED LEAD",003Q,10,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
35030-4,7,3,"WIRE, TC (#20 AWG)",,14,EA,"LW0.032C-32-N PER MIL-STD-1276, CUT 1"",-""",,
35037-1,15,3,BAND,,1,A/R,"0.012 x 3/8"""," COLD ROLLED STEEL.""",-
35038-1,11,3,BAND,,1,A/R,"0.006 x 3/8"""," COLD ROLLED STEEL.""",-
35039,9,4,"WIRE, INSULATED LEAD",003Q,10,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 3"",-""",,
35040,7,2,"WIRE, INSULATED LEAD",,2,EA,"#28AWG MIL-W-22759/33 (ANY COLOR) CUT 3"",-""",,
35069,5,3,"WIRE, INSULATED",,2,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
35069,9,3,"WIRE, TC (#20AWG)",,4,EA,"LW0.032C-32-N PER MIL-STD-1276, CUT 3"",-""",,
35070,10,3,"WIRE, TC (#24AWG)",,2,EA,"LW0.020C-32-N PER MIL-STD-1276, CUT 1"",-""",,
35070,11,3,"WIRE, TC (#24AWG)",,6,EA,"LW0.020C-32-N PER MUL-STD-1276, CUT 4"",-""",,
35071,5,4,"WIRE, INSULATED",,2,EA,"M22759/33-24-9 PER MIL-W-22759, CUT 3"",-""",,
35071,11,4,"WIRE, TC (#16AWG)",,4,EA,"LW0.050C-32-N PER MIL-STD-1276, CUT 3"",-""",,
35072,6,4,"WIRE, INSULATED",,2,EA,"M22759/33-24-9 PER MIL-W-22759, CUT 3"",-""",,
35072,11,4,"WIRE, TC (#18AWG)",,4,EA,"LW0.040C-32-N PER MIL-STD-1276, CUT 3"",-""",,
35073,6,4,"WIRE, INSULATED",,2,EA,"M22759/33-26-9 PER MIL-W-22759, CUT 3"",-""",,
35073,11,4,"WIRE, TC (#20AWG)",,4,EA,"LW0.032C-32-N PER MIL-STD-1276, CUT 3"",-""",,
35113E,6,3,"WIRE, TC (#16 AWG)",,16,EA,"LW0.050C-32-N PER MIL-STD-1276, CUT 1"",-""",,
35113S,6,2,"WIRE, TC (#16 AWG)",,16,EA,"LW0.050C-32-N PER MIL-STD-1276, CUT 1"",-""",,
35119,12,3,FIBERMAT,,1,A/R,"TYPE 2540, �"",-""",75037,
35120,11,3,FIBERMAT,,1,A/R,"TYPE 2540, �"",-""",75037,
35140,5,3,"WIRE, INSULATED",,2,EA,"M22759/44-26-9 PER MIL-W-22759, CUT 2"",-""",,
35156,7,3,"WIRE, INSULATED",,1,EA,"M22759/35-24-0 PER MIL-W-22759, CUT 2"",-""",,
35156,8,3,"WIRE, INSULATED",,15,EA,"M22759/35-24-9 PER MIL-W-22759, CUT 2"",-""",,
35157,7,3,"WIRE, INSULATED",,1,EA,"M22759/35-20-0 PER MIL-W-22759, CUT 2"",-""",,
35157,8,3,"WIRE, INSULATED",,15,EA,"M22759/35-20-9 PER MIL-W-22759, CUT 2"",-""",,
35166-2,10,3,"WIRE, TC (#24AWG)",,8,EA,"LW0.020C-32-N PER MIL-STD-1276, CUT 1"",-""",,
35166-2,13,3,"CASE, POTTING",,1,EA,1-0259 (Mod: HT=.250," 8 Holes)""",-
35176,8,3,"WIRE, TC (#20AWG)",,10,EA,"LW-0.032C-32-N PER MIL-STD-1276, CUT .5"",-""",,
35177,7,3,"WIRE, TC (#20AWG)",,4,EA,"LW-0.032C-32-N PER MIL-STD-1276, CUT .5"",-""",,
35220-1,6,3,LEAD WIRE,,1,EA,"M22759/43-14-9 PER MIL-W-22759, CUT 10"",-""",,
35220-1,7,3,LEAD WIRE,,1,EA,"M22759/43-14-0 PER MIL-W-22759, CUT 10"",-""",,
35220-1,8,3,LEAD WIRE,,1,EA,"M22759/43-14-4 PER MIL-W-22759, CUT 10"",-""",,
35220-1,9,3,LEAD WIRE,,1,EA,"M22759/43-14-6 PER MIL-W-22759, CUT 10"",-""",,
35220-2,6,3,LEAD WIRE,,1,EA,"M22759/43-14-9 PER MIL-W-22759, CUT 10"",-""",,
35220-2,7,3,LEAD WIRE,,1,EA,"M22759/43-14-0 PER MIL-W-22759, CUT 10"",-""",,
35220-2,8,3,LEAD WIRE,,1,EA,"M22759/43-14-4 PER MIL-W-22759, CUT 10"",-""",,
35220-2,9,3,LEAD WIRE,,1,EA,"M22759/43-14-6 PER MIL-W-22759, CUT 10"",-""",,
35225-2,8,3,INSERT,,1,EA,"CBL632-6, 3/16OD"," D=0.030""""",-
35237,8,3,"PINS, TERMINAL",,2,EA,"LW0.020C-32-N PER MIL-STD-1276, CUT 3"",-""",,
35238,8,3,"WIRE, TC (#20AWG)",,10,EA,"LW-0.032C-32-N PER MIL-STD-1276, CUT 1"",-""",,
35244,6,3,"WIRE, TC (#22AWG)",,2,EA,"LW-0.025C-32-N PER MIL-STD-1276, CUT 1"",-""",,
35246,12,3,FIBERMAT,,1,A/R,"TYPE 2540, �"",-""",75037,
35248,10,3,"WIRE, TC (#20AWG)",,12,A/R,"LW0.032C-32-N PER MIL-STD-1276, CUT 1"",-""",,
35249,10,3,"WIRE, TC (#20AWG)",,2,E/A,"LW0.032C-32-N PER MIL-STD-1276, CUT 2"",-""",,
35250-3,4,3,CORE,,1,SET,"FERROXCUBE P26/16-3C95, AIR GAP 0.018"",-""",F0002,
35252-1,4,3,CORE,,1,SET,"FERROXCUBE P22/13-3C95, AIR GAP 0.019"",-""",F0002,
35252-3,4,3,CORE,,1,SET,"FERROXCUBE P22/13-3C95, AIR GAP 0.019"",-""",F0002,
35253-1,4,3,CORE,,1,SET,"FERROXCUBE P18/11-3C95, AIR GAP 0.009"",-""",F0002,
35253-3,4,3,CORE,,1,SET,"FERROXCUBE P18/11-3C95, AIR GAP 0.009"",-""",F0002,
35261-1,4,3,CORE,,1,SET,"FERROXCUBE P22/13-3C95, AIR GAP 0.019"",-""",F0002,
35261-3,4,3,CORE,,1,SET,"FERROXCUBE P22/13-3C95, AIR GAP 0.019"",-""",F0002,
35262-3,8,3,"WIRE, TC (#20AWG)",,9,EA,"LWO.032C-32-N PER MIL-STD-1276, CUT 1"",-""",,
35272,8,3,"WIRE, PINS (#20AWG)",,17,A/R,"LW0.032C-32-N PER MIL-STD-1276, CUT 3"",-""",,
35273-4,4,3,CORE,,1,SET,"P18/11-3C95-UG, AIR GAP 0.019"",-""",F0002,
35281,10,3,"WIRE, PINS (#20 AWG)",,10,EA,"LW-0.032C-32-N PER MIL-STD-1276, CUT 1"",-""",,
35283-4,6,3,"WIRE, TC (#18AWG)",,12,EA,"LW-0.040C-32-N PER MIL-STD-1276, CUT 1"",-""",,
35289,8,3,"WIRE, PINS (#20 AWG)",,10,EA,"LW-0.032C-32-N PER MIL-STD-1276, CUT 1"",-""",,
35339-1,8,3,"WIRE, TC (#20AWG)",,8,EA,"LW-0.032C-32-N PER MIL-STD-1276.CUT 1.5"",-""",,
35339-2,8,3,"WIRE, TC (#20AWG)",,8,EA,"LW-0.032C-32-N PER MIL-STD-1276.CUT 1.5"",-""",,
35339-3,8,3,"WIRE, TC (#20AWG)",,8,EA,"LW-0.032C-32-N PER MIL-STD-1276.CUT 1.5"",-""",,
35340-1,9,3,"WIRE, TC (#20AWG)",,6,EA,"LW-0.032C-32-N PER MIL-STD-1276.CUT 1.5"",-""",,
35340-2,9,3,"WIRE, TC (#20AWG)",,6,EA,"LW-0.032C-32-N PER MIL-STD-1276.CUT 1.5"",-""",,
35340-3,9,3,"WIRE, TC (#20AWG)",,6,EA,"LW-0.032C-32-N PER MIL-STD-1276.CUT 1.5"",-""",,
35341-1,8,3,"WIRE, TC (#20AWG)",,8,EA,"LW-0.032C-32-N PER MIL-STD-1276.CUT 1.5"",-""",,
35341-2,8,3,"WIRE, TC (#20AWG)",,8,EA,"LW-0.032C-32-N PER MIL-STD-1276.CUT 1.5"",-""",,
35341-3,8,3,"WIRE, TC (#20AWG)",,8,EA,"LW-0.032C-32-N PER MIL-STD-1276.CUT 1.5"",-""",,
35344-S,6,3,"WIRE, TC (#16AWG)",,16,EA,"LW-0.050C-32-N PER MIL-STD-1276, CUT 2"",-""",,
35344B,6,3,"WIRE, TC (#16AWG)",,16,EA,"LW-0.050C-32-N PER MIL-STD-1276, CUT 2"",-""",,
35346-1,6,3,"WIRE, TC (#20AWG)",,4,EA,"LW-0.032C-32-N PER MIL-STD-1276.CUT 1.5"",-""",,
35346-2,6,3,"WIRE, TC (#20AWG)",,4,EA,"LW-0.032C-32-N PER MIL-STD-1276.CUT 1.5"",-""",,
35346-3,6,3,"WIRE, TC (#20AWG)",,4,EA,"LW-0.032C-32-N PER MIL-STD-1276.CUT 1.5"",-""",,
